ENSG00000000003	X	99883667	99894988	-1	0.038
ENSG00000000005	X	99839799	99854882	1	0.0
ENSG00000000419	20	49551404	49575092	-1	79.197
ENSG00000000457	1	169821804	169863408	-1	11.082
ENSG00000000460	1	169631245	169823221	1	13.743
ENSG00000000938	1	27938575	27961788	-1	98.303
ENSG00000000971	1	196621008	196716634	1	0.002
ENSG00000001036	6	143816614	143832827	-1	18.191
ENSG00000001084	6	53362139	53481768	-1	4.571000000000001
ENSG00000001167	6	41040684	41067715	1	11.642999999999999
ENSG00000001460	1	24683489	24743424	-1	0.20199999999999999
ENSG00000001461	1	24742284	24799466	1	2.667
ENSG00000001497	X	64732462	64754655	-1	19.111
ENSG00000001561	6	46097701	46114435	1	11.151
ENSG00000001617	3	50192478	50226508	1	0.049
ENSG00000001626	7	117105838	117308719	1	1.4509999999999998
ENSG00000001629	7	91875548	92030698	1	45.391000000000005
ENSG00000001630	7	91741465	91772266	-1	15.759
ENSG00000001631	7	91828283	91875480	-1	22.629
ENSG00000002016	12	1021243	1100356	-1	4.955
ENSG00000002330	11	64037302	64052176	-1	11.917
ENSG00000002549	4	17578815	17609595	1	91.471
ENSG00000002586	X	2609220	2659350	1	10.265
ENSG00000002587	4	11394774	11431389	-1	0.429
ENSG00000002726	7	150521715	150558592	1	0.027000000000000003
ENSG00000002745	7	120965421	120981158	1	0.027000000000000003
ENSG00000002746	7	43152198	43602938	1	0.075
ENSG00000002822	7	1855383	2272878	-1	4.425
ENSG00000002834	17	37026256	37078023	1	36.552
ENSG00000002919	17	46184911	46200105	1	69.847
ENSG00000002933	7	150497491	150502208	1	0.004
ENSG00000003056	12	9092959	9102551	-1	73.421
ENSG00000003096	X	117031776	117251303	-1	14.564
ENSG00000003137	2	72356367	72375167	-1	0.0
ENSG00000003147	7	8152814	8302317	-1	5.98
ENSG00000003249	16	90071273	90086526	-1	2.448
ENSG00000003393	2	202565277	202645912	-1	4.428
ENSG00000003400	2	202047604	202094129	1	6.042999999999999
ENSG00000003402	2	201980827	202029033	1	27.514
ENSG00000003436	2	188328957	188430487	-1	0.033
ENSG00000003509	2	37458774	37480546	1	18.996
ENSG00000003756	3	50126341	50156454	1	57.787
ENSG00000003987	8	17155539	17271037	-1	0.0
ENSG00000003989	8	17354597	17428082	1	0.022000000000000002
ENSG00000004059	7	127228399	127231759	1	63.56
ENSG00000004139	17	26691378	26728046	1	1.168
ENSG00000004399	3	129274018	129325661	-1	0.006999999999999999
ENSG00000004455	1	33473585	33546597	-1	100.992
ENSG00000004468	4	15779898	15851069	1	19.37
ENSG00000004478	12	2904119	2914576	1	26.627
ENSG00000004487	1	23345941	23410182	1	67.797
ENSG00000004534	3	49977440	50137478	1	47.352
ENSG00000004660	17	3763609	3796338	-1	0.58
